event-label,status
2017-02-28-cse,scheduled
2017-11-13-sc,scheduled
2018-02-06-ecpam,scheduled
2018-06-24-isc,scheduled
2018-08-08-atpesc,scheduled
2018-11-12-sc,scheduled
2019-01-14-ecpam,scheduled
2019-06-19-isc,scheduled
2019-08-08-atpesc,scheduled
2019-11-18-sc,scheduled
2020-02-04-ecpam,scheduled
2020-03-05-rfscidac,scheduled
2020-08-06-atpesc,scheduled
2020-11-10-sc,scheduled
2021-03-25-iss,scheduled
2021-04-12-ecpam,scheduled
2021-06-24-isc,scheduled
2021-08-12-atpesc,scheduled
2021-11-15-sc,scheduled
2022-04-07-iss,scheduled
2022-05-02-ecpam,scheduled
2022-05-29-isc,scheduled
2022-08-11-atpesc,scheduled
2022-11-13-sc,scheduled
